Title,Extracted Content,city
咖啡厅,GREEN MILE CAFE,深圳
咖啡厅,AMPM Café&Brunch(深圳湾1号店),深圳
咖啡厅,Blue Concept Cafe&Farm·關於藍,深圳
咖啡厅,豆舞咖啡(民乐路店),深圳
咖啡厅,ABLUE ART COFFEE 蓝咖啡·画廊(黄贝岭店),深圳
日本菜,大渔铁板烧(领展中心城店),深圳
日本菜,日本烧肉吉之兆KITCHO(吉祥店),深圳
日本菜,鸟鹏烧鸟居酒屋(车公庙店),深圳
日本菜,大聖酒场,深圳
日本菜,笨鱼水产,深圳
日本菜,大渔铁板烧(保利文化广场店),深圳
日本菜,小島·料理(五和店),深圳
日本菜,居酒屋霞 かすみ(国贸店),深圳
日本菜,活面イケメン(南山店),深圳
日本菜,黑穗·日料(大仟里店),深圳
日本菜,四万十鳗鱼屋(万象天地店),深圳
日本菜,北纬赤醋寿司(海雅店),深圳
日本菜,藤原料理店(头文字D元素店),深圳
日本菜,大馥 · 烧肉丼饭(万象天地店),深圳
日本菜,美伦会所葡逸自助餐厅(蛇口店),深圳
日本菜,龙酒场·寿喜锅·活鳗·居酒屋(国贸店),深圳
日本菜,鸟竹·寿喜锅·居酒屋·年会·团建聚会(原鮨山店),深圳
日本菜,鮨大虎寿司·手握赤醋饭(卓悦INTOWN店),深圳
日本菜,牛角烧肉(福田COCOPark店),深圳
日本菜,本湖·鮨·日本料理,深圳
日本菜,味吉彩·日式拉面(南山店),深圳
日本菜,一朵日式料理(万象城店),深圳
日本菜,小千居酒屋(龙华店),深圳
日本菜,七的居酒屋グルメバー(石厦店),深圳
日本菜,大無烧肉(卓悦中心店),深圳
日本菜,合气屋·糖果居酒屋(上海宾馆店),深圳
日本菜,炙柒Sekinana·精致料理 烧鸟·铁板烧(海上世界店),深圳
日本菜,橙饭OrangeFUN(八卦岭店),深圳
日本菜,岚山庭·尾牙宴,深圳
日本菜,温野菜涮涮锅(欢乐海岸店),深圳
火锅,海底捞火锅(壹方城店),深圳
火锅,新起点脆肉鲩火锅(宝安南路店),深圳
火锅,海底捞火锅(同泰时代广场店),深圳
火锅,火璽,深圳
火锅,憨铁匠老火锅(龙岗万科里店),深圳
火锅,八合里牛肉火锅(海岸城店),深圳
火锅,八合里牛肉火锅(众冠时代店),深圳
火锅,香港诚意茶餐厅(新洲店),深圳
火锅,車记碳烤肥牛·团建聚餐(坪洲店),深圳
火锅,潮悦牛肉火锅店(西丽龙井店),深圳
火锅,京庄·铜锅涮(华侨城店),深圳
火锅,捞王锅物料理(深圳壹方城店),深圳
火锅,海底捞火锅(深圳卓越店),深圳
火锅,洪大厨鸡煲(福田店),深圳
火锅,润园四季椰子鸡火锅(KK Mall店),深圳
西餐,Sergio's Café 尚吉,深圳
西餐,weeknd·Bistro 周末餐,深圳
西餐,春风十里音乐餐吧(坪山店),深圳
西餐,OBSIDIAN(平安金融中心店),深圳
西餐,大梅沙京基洲际行政俱乐部蔚蓝阁餐,深圳
西餐,农畉LONFOOD(卓悦中心店),深圳
西餐,MR.ROCKY洛奇先生RESTAURANT&BAR(宝安壹方城店),深圳
西餐,107私厨·牛排馆,深圳
西餐,杂咖zacup(领展中心城店),深圳
西餐,乐意坊Alla Torre意大利手工披萨(海上世界店),深圳
西餐,星美乐(万象城店),深圳
西餐,Auvers(卓悦中心店),深圳
西餐,gaga CHEF(万象天地店),深圳
西餐,Cyclus Craft Kitchen薩克思手工厨房,深圳
西餐,曼格活海鲜火锅·牛排自助(大仟里店),深圳
西餐,Tomacado花厨(卓悦中心店),深圳
西餐,美伦会所葡逸自助餐厅(蛇口店),深圳
西餐,blend咖啡部落(燕南店),深圳
西餐,CIAO CARO乔克拉+(购物公园店),深圳
西餐,幸邻食堂,深圳
西餐,bluefrog蓝蛙(皇庭广场店),深圳
西餐,gaga(壹方城店),深圳
西餐,星美乐(万象天地店),深圳
西餐,blend咖啡部落(车公庙店),深圳
西餐,Bar Choice餐酒馆,深圳
西餐,农畉LONFOOD(福田星河COCOPark店),深圳
西餐,拾号牛扒(宝安壹方城店),深圳
西餐,巴迪奥餐吧 Patio Cafe,深圳
西餐,拾号牛扒(沙井店),深圳
西餐,V11牛扒餐厅(壹方天地店),深圳
小龙虾,江味龙虾馆(南山店),深圳
小龙虾,松哥油焖大虾·外卖(横岗店),深圳
小龙虾,松哥油焖大虾(龙华壹方天地店),深圳
小龙虾,天宝兄弟·湘菜龙虾馆(梅林直营店),深圳
